Year,Australia,Canada,China,France,Italy,United Kingdom,United States
1960,,53000000,305000000,1067000000,113000000,1857000000,5998000000
1961,2000000,309000000,37000000,1010000000,307000000,1075000000,6533000000
1962,2000000,188000000,54000000,1472000000,412000000,1207000000,5638000000
1963,,215000000,11000000,1649000000,452000000,852000000,8991000000
1964,,252000000,61000000,1830000000,770000000,1101000000,11998000000
1965,,111000000,387000000,1634000000,644000000,1431000000,11340000000
1966,,90000000,612000000,1711000000,446000000,1513000000,8443000000
1967,,44000000,350000000,1584000000,195000000,2164000000,7397000000
1968,,100000000,580000000,1835000000,142000000,1514000000,8340000000
1969,26000000,261000000,451000000,1273000000,336000000,1876000000,11530000000
1970,0,195000000,736000000,1680000000,249000000,856000000,8791000000
1971,48000000,266000000,1303000000,2249000000,463000000,2106000000,11128000000
1972,66000000,313000000,1273000000,2446000000,405000000,2112000000,9873000000
1973,86000000,96000000,698000000,2707000000,422000000,2410000000,12007000000
1974,63000000,106000000,611000000,1985000000,487000000,2064000000,11776000000
1975,105000000,33000000,559000000,2360000000,794000000,1870000000,16066000000
1976,63000000,197000000,581000000,2190000000,764000000,1969000000,14015000000
1977,33000000,119000000,227000000,2822000000,760000000,1960000000,14161000000
1978,17000000,175000000,631000000,3268000000,813000000,1723000000,12542000000
1979,23000000,146000000,597000000,3189000000,1506000000,1278000000,8738000000
1980,13000000,151000000,972000000,3420000000,1533000000,1510000000,9752000000
1981,14000000,112000000,707000000,3445000000,1664000000,2259000000,12607000000
1982,30000000,239000000,1586000000,3583000000,1731000000,2407000000,13379000000
1983,23000000,133000000,1899000000,2985000000,1229000000,2335000000,13077000000
1984,63000000,91000000,2147000000,2822000000,1488000000,2415000000,11076000000
1985,21000000,89000000,1411000000,3677000000,1037000000,2006000000,10278000000
1986,78000000,250000000,2101000000,2784000000,435000000,1906000000,11337000000
1987,116000000,260000000,3458000000,1618000000,727000000,3301000000,12169000000
1988,18000000,198000000,2101000000,1729000000,489000000,2278000000,11470000000
1989,22000000,50000000,1029000000,1998000000,381000000,3305000000,10826000000
1990,159000000,90000000,931000000,1606000000,359000000,1861000000,10409000000
1991,85000000,105000000,1156000000,955000000,534000000,1459000000,12660000000
1992,6000000,115000000,729000000,1009000000,454000000,1145000000,14417000000
1993,60000000,119000000,1417000000,782000000,455000000,1412000000,14539000000
1994,30000000,145000000,1099000000,719000000,312000000,1522000000,11722000000
1995,28000000,326000000,1040000000,825000000,369000000,1525000000,11202000000
1996,16000000,137000000,761000000,1783000000,436000000,1662000000,10851000000
1997,21000000,89000000,443000000,3069000000,441000000,2452000000,14260000000
1998,3000000,34000000,357000000,3349000000,414000000,1426000000,15348000000
1999,,75000000,289000000,1787000000,509000000,1313000000,11448000000
2000,,110000000,268000000,1052000000,176000000,1474000000,7526000000
2001,43000000,129000000,496000000,1261000000,214000000,1249000000,5808000000
2002,30000000,182000000,555000000,1306000000,402000000,916000000,4936000000
2003,40000000,276000000,623000000,1287000000,312000000,621000000,5510000000
2004,2000000,300000000,253000000,2224000000,200000000,1169000000,6648000000
2005,50000000,229000000,248000000,1617000000,806000000,919000000,6786000000
2006,5000000,231000000,583000000,1541000000,621000000,871000000,7394000000
2007,2000000,348000000,396000000,2639000000,649000000,1098000000,7914000000
2008,6000000,215000000,428000000,1585000000,484000000,1075000000,6159000000
,,,,,,,
Arms exports (constant 1990 US$),,,,,,,
